service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
6184J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
6185V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
6186S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
6187D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
6188L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
6189M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
6190X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
6191J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
6192V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
6262X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
6263J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
6264V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
6265S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
6266D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
6267L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
6268M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
6269X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
6270J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
6271V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
6272S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
6273D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
6274L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
6275M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
6276X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
6277J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
6278V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
6279S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
6280D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
6281L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
6282M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
6283X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
6284J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
6285V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
6286S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
6287D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
6288L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
6289M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
6290X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
6291J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
6292V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
7062X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
7063J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
7064V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
7065S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
7066D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
7067L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
7068M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
7069X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
7070J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
7071V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
7072S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
7073D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
7074L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
7075M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
7076X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
7077J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
7078V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
7079S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
7080D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
7081L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
7082M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
7083X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
7084J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
7085V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
7086S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
7087D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
7088L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
7089M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
7090X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
7091J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
7092V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
